time,double_support,RT_single_support,LT_single_support,Pelvis_A_X,Pelvis_A_Y,Pelvis_A_Z,Lower spine_A_X,Lower spine_A_Y,Lower spine_A_Z,Upper spine_A_X,Upper spine_A_Y,Upper spine_A_Z
31.75,0,1,0,8.628702783203124,0.37379473421028203,1.07320089459408,8.719682446779396,0.6787561706788136,-0.01440261935927255,7.915230688966895,0.5542576843506886,3.1196447634287603
31.755,0,1,0,8.662221606935645,0.3465606903198755,1.24259066186626,8.9255837890625,0.715267745983938,0.11926117016895199,8.068459595216895,0.6548141540772511,3.02866509985249
31.76,0,1,0,8.547299927248146,0.41928456570421746,0.51984103543078,8.94473740234375,0.673369216906687,0.2898480384428265,8.283937744140625,0.715267745983938,2.93050283203125
31.765,0,1,0,8.365340601076271,0.4647743972962195,-0.433949050891062,8.877699755859375,0.6554127044309985,0.3399766357421875,8.494627490234375,0.7894879973997485,2.9448680424825198
31.77,0,1,0,8.240842114748146,0.329202728296001,-1.1109095703125,8.777143286623145,0.661398208654939,0.32770635226453254,8.56166513671875,0.8182184173216235,3.0526071169443854
31.775,0,1,0,8.17380446826377,0.189291568716264,-1.4760253233637448,8.71010564013877,0.7110778931154396,0.2184709014769995,8.566453540529395,0.8409633331176245,3.260902661623145
31.78,0,1,0,8.274360937500001,0.1940799720365765,-1.73459910266062,8.6957404296875,0.7481880187743115,0.07137713699524695,8.489839087404395,0.840364782763877,3.5003228276387697
31.785,0,1,0,8.609549169921875,-0.004281038319721695,-1.522712255859375,8.762778076171875,0.8158242157105006,-0.122104284717002,8.40843623046875,0.849343038952688,3.706224169921875
31.79,0,1,0,9.045293872560645,-0.29987375792231197,-1.060631335694385,8.92079538623252,0.848744488500874,-0.21428104860850097,8.336610181154395,0.8834604126466895,3.801992236328125
31.795,0,1,0,9.490615380859374,-0.2253542312805945,-0.9301473449461864,9.107543115234375,0.9074024292482521,-0.2165256126066705,8.336610181154395,0.9080009796019995,3.81156904296875
31.8,0,1,0,9.873687651387701,0.009525368714727145,-1.013944403198755,9.3086560546875,0.925358941625874,-0.1599625984406415,8.418013037109375,0.897227072155813,3.7565024045399897
31.805,0,1,0,10.16099185060645,0.0369978975325134,-0.913387933374126,9.548076220703125,0.9564835632569385,-0.07706336593444055,8.595183960451271,0.8505401397582495,3.67988795141499
31.81,0,1,0,10.3333743701377,-0.135422031387265,-0.581791003467002,9.7683427734375,0.9014169250243115,-0.025700258440989648,8.82981572265625,0.7697358337647511,3.61524450732627
31.815,0,1,0,10.40041201171875,-0.32052374723503047,-0.41689036409309455,9.9215716796875,0.8571241943359376,-0.021098902131965698,9.107543115234375,0.669777914391936,3.6367923220225102
31.82,0,1,0,10.496180078125,-0.31603461914062503,-0.48602293706075195,10.036493359375001,0.734421359265188,-0.04526537513334515,9.36132849170127,0.5416881256471265,3.687070556640625
31.825,0,1,0,10.678139409200199,-0.208445181997514,-0.6012438918760925,10.1514150390625,0.6087257721315016,-0.08738836060060645,9.586383447265625,0.436642527728092,3.778050220216895
31.83,0,1,0,10.88882915529395,-0.157119483990658,-0.6410474944700609,10.3046439453125,0.4611830947814685,-0.1804629501404065,9.792284790529395,0.360925900280813,3.8331168576649897
31.835,0,1,0,11.08994208984375,-0.07631517791870629,-0.7332242584596266,10.486603276387699,0.267103122744892,-0.2677016730986395,9.95987890625,0.3148375183350635,3.840299462890625
31.84,0,1,0,11.1474029296875,0.24286183091742253,-1.0348936680315801,10.639832182637699,0.09539397239347955,-0.31543606868881097,10.12268462404395,0.304063610888877,3.77326181640625
31.845,0,1,0,11.0229044482627,0.6871358765138771,-1.426944189453125,10.678139409200199,-0.05110124168549225,-0.39953240206922,10.23760630373145,0.2885013000243115,3.69904156469624
31.85,0,1,0,10.74517705078125,1.040879171569055,-1.69868607751311,10.563217729512699,-0.125022217924429,-0.40970775906359247,10.28549033203125,0.2482487845914825,3.612850304930615
31.855,0,1,0,10.39083520998145,1.32399351782124,-1.812410656493115,10.32379755859375,-0.09202712630796545,-0.457292517138877,10.2567599170127,0.2289455337953455,3.572148876953125
31.86,0,1,0,10.036493359375001,1.5885528016362551,-1.7896657410893801,10.01733974609375,0.06340893459090224,-0.475548304742406,10.08437739748145,0.214580323834408,3.6176387087412603
31.865,0,1,0,9.82580361328125,1.92972653857627,-1.762132421875,9.739612353515625,0.297180281085282,-0.41898529057637696,9.85453403810645,0.22325930479731199,3.7852328244618647
31.87,1,0,0,9.9981861328125,3.294421484375,-1.96803376513877,9.61032546435752,0.6913257293823755,0.1924339583921545,9.572018237795021,0.2557306648468915,4.5920787846700195
31.875,1,0,0,11.463437553731449,6.205770703125,-4.548983154296875,10.20887587890625,1.51912095373689,0.6084264969055945,9.51934580078125,0.38875849452496697,6.22492431640625
31.88,1,0,0,14.8919343310752,2.88980140405376,-2.937685437256885,13.4745669482627,2.9233202268056147,-1.5011644411631349,9.7683427734375,0.6596025573975636,6.66066901904502
31.885,1,0,0,17.5064025390625,-6.205770703125,4.6303860112325195,18.47366001466895,2.340332122434985,-2.149993091310645,10.6877162109375,1.154005200685645,5.9567737304687505
31.89,1,0,0,15.75384692873145,-7.924807495607521,9.160215552248145,18.59815849609375,-0.42646717073371954,-0.801459005749563,12.708422417012699,1.6579846495356199,4.30477458545127
31.895,1,0,0,12.9861498046875,-4.683058447265625,7.422025146484375,14.633360546875,-1.0432733729840449,0.8259995728029396,14.786589453125,1.59214410375874,2.84909997607627
31.9,1,0,0,11.7890489795127,-2.674323254149365,2.144007586792505,11.769895366231449,-0.17851766127007748,1.52630355798186,15.9262294482627,0.7990648040403735,2.3642741395268803
31.905,1,0,0,11.875240234375001,-2.9137434201649897,-1.9812018739018802,11.12824931640625,0.6631938599123145,1.08577045251311,16.2326872607627,-0.1632546257294855,3.09809694873252
31.91,1,0,0,12.181698046875,-3.1794998046875,-2.3511060307637703,11.93270107421875,0.59376201171875,0.4800374328368115,15.8113077685752,-0.7577648254149365,4.3358992067881355
31.915,1,0,0,12.555193510762699,-2.916137622560645,-0.5901707092039989,12.7850368701377,-0.241066179660047,0.007168576454867275,14.6620909717002,-0.916380685437063,5.085284326171875
31.92,1,0,0,12.9861498046875,-2.50672913842876,0.9355342987183131,12.68926880373145,-1.01214875164718,-0.1985691002290485,12.890381738281251,-0.7200561493042505,5.099649536623145
31.925,1,0,0,13.12022509765625,-0.8798691101319386,0.8565256438841234,11.769895366231449,-1.1384428895268799,-0.020182371809013753,11.013327636718751,-0.482730909771908,4.912901806640625
31.93,1,0,0,13.254300390625,1.60052380969187,0.06228665256239755,11.19528696779395,-0.781706842016499,0.300472308374126,9.55765302734375,-0.228197345730578,5.046977099609375
31.935,1,0,0,13.8959464404502,2.75333190967002,-0.05843348426910785,11.85608662109375,-0.31154549104621954,0.300173033148219,8.705317236328126,-0.00124035544978373,5.516240625
31.94,1,0,0,14.786589453125,2.176329308836865,1.079784948975635,13.42668291015625,-0.1418564483519995,0.029272856232056502,8.53772312060752,0.257526316104267,5.889736083984375
31.945,1,0,0,15.093047265625,1.10252986437937,3.04542451171875,14.5184388671875,-0.47435120393684455,-0.131007722050303,9.04050546875,0.433649775665155,5.81791003467002
31.95,1,0,0,14.55674609375,0.160411511279502,4.51785853296001,13.94383046875,-0.836174929797312,0.0780360103597984,10.05564697265625,0.47165772709981446,5.233724829591895
31.955,1,0,0,13.2926076171875,0.08357260169584516,4.290409375,12.39238779296875,-0.782903942920127,0.542585951226781,11.28147822265625,0.31663316959243903,4.520252734375
31.96,1,0,0,12.0188923388877,0.571017095922749,2.839523169435645,11.31978544921875,-0.510563504016062,0.6871358765138771,12.34450376466895,0.01905073743337695,3.94803853735249
31.965,1,0,0,11.0707884765625,0.9720458740234376,1.673546960694385,11.16655654296875,-0.34745851589953,0.4234744186707825,12.947842578125,-0.3333925811644995,3.572148876953125
31.97,1,0,0,10.3716815967002,1.302445703125,1.39821376953125,11.425130327168949,-0.5060743759216565,0.03456628646421545,12.95741938966895,-0.590469984429906,3.263296863038135
31.975,0,0,1,9.86411083984375,1.7872715396743901,1.65559044812063,11.34851587404395,-0.9020154754761255,-0.12427402995772799,12.38281099123145,-0.7841010437256886,2.9783868652343752
31.98,0,0,1,9.543287817873145,2.248155359131885,2.00514389001311,10.70686982421875,-1.25097036779939,-0.07380874805373824,11.31020864748145,-0.9044096770872485,2.73657249780376
31.985,0,0,1,9.3852705078125,2.38821615563811,2.302024895872485,9.96945571779395,-1.37666595483501,0.0954687911999563,10.026916557637701,-0.9487024078736891,2.6216508181162603
31.99,0,0,1,9.260772021484375,2.21703073779502,2.557007373046875,9.43794294482627,-1.333570324461865,0.2513911743654395,8.7723548828125,-0.8990227234131886,2.60489140625
31.995,0,0,1,9.045293872560645,1.7513585145268802,2.81318695092876,9.179369165529396,-1.1258733306271849,0.37798458707878047,7.747636572265625,-0.808043060327251,2.686294263185645
32.0,0,0,1,8.777143286623145,1.1067197173459349,3.0238766970225104,9.064447485841896,-0.7511807708372484,0.46327802126475104,7.000645654296875,-0.7230489013671875,2.75572611108501
32.005,0,0,1,8.48505068359375,0.41928456570421746,3.19865341796875,8.987833032716896,-0.319625921655376,0.539593199163844,6.512228515625,-0.6302735870238745,2.8179753537587398
32.01,0,0,1,8.202534888185646,-0.264858558648656,3.31118089624126,8.8872765625,0.06741174049714545,0.635660540796001,6.287173560060645,-0.5572504364136255,2.84909997607627
